Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Perodua,https://www.oto.my/upload/image/2024/07/20/235788/s4-146507578.jpg,/car-for-sale/235788/used-2020-perodua-aruz-av-johor/,"RM 61,800",Used,"90,000 - 94,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/20/235786/s4-147451479.jpg,/car-for-sale/235786/used-2017-perodua-myvi-g-johor/,"RM 30,800",Used,"35,000 - 39,999 km",1.3L,Manual,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/19/235772/s4-147474427.jpg,/car-for-sale/235772/used-2020-perodua-myvi-av-selangor/,"RM 50,800",Used,"75,000 - 79,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/19/235771/s4-147040615.jpg,/car-for-sale/235771/used-2021-perodua-ativa-av-selangor/,"RM 65,800",Used,"35,000 - 39,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/19/235767/s4-147160891.jpg,/car-for-sale/235767/used-2020-perodua-myvi-av-selangor/,"RM 50,800",Used,"50,000 - 54,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/19/235765/s4-147041980.jpg,/car-for-sale/235765/used-2021-perodua-ativa-av-selangor/,"RM 65,800",Used,"45,000 - 49,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/19/235764/s4-146798434.jpg,/car-for-sale/235764/used-2022-perodua-ativa-av-johor/,"RM 68,800",Used,"30,000 - 34,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/18/235750/s4-146332677.jpg,/car-for-sale/235750/used-2018-perodua-myvi-av-johor/,"RM 46,800",Used,"85,000 - 89,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/18/235749/s4-144929222.jpg,/car-for-sale/235749/used-2021-perodua-ativa-av-johor/,"RM 66,800",Used,"30,000 - 34,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/18/235743/s4-146744979.jpg,/car-for-sale/235743/used-2018-perodua-myvi-av-selangor/,"RM 47,800",Used,"80,000 - 84,999 km",1.5L,Automatic,Hatchback,Selangor
